OrderQuantity.CreatedDate,OrderQuantity.StartDate,OrderQuantity.EndDate,OrderQuantity.Value,OrderQuantity.GeneratedReason,Subscription.Name,SubscriptionVersionAmendment.Code,RatePlanCharge.ChargeNumber,RatePlanCharge.Name,OrderAction.Type,Order.OrderNumber,Account.Name,Account.Currency
2018-03-26T20:36:15-0700,12/31/19,12/30/20,30,IncreaseQuantity,A-S00008317,A-AM00029207,C-00043230,Committed Volume,UpdateProduct,O-00029860,CLEAR,USD
2018-03-26T20:36:25-0700,12/31/19,12/30/20,75000.01,IncreaseQuantity,A-S00008317,A-AM00029209,C-00043234,Connect,UpdateProduct,O-00029939,CLEAR,USD
2018-03-26T20:35:41-0700,12/31/17,12/30/20,220,Extension,A-S00008317,A-AM00036692,C-00043230,Committed Volume,CreateSubscription,O-00028963,CLEAR,USD
2018-03-26T20:35:41-0700,12/31/17,12/30/20,1,Extension,A-S00008317,A-AM00036692,C-00043233,Connect,CreateSubscription,O-00028963,CLEAR,USD
2018-03-26T20:35:41-0700,12/31/17,12/30/20,5,Extension,A-S00008317,A-AM00036692,C-00043235,Seats,CreateSubscription,O-00028963,CLEAR,USD
2018-03-26T20:35:41-0700,12/31/17,12/30/20,1,Extension,A-S00008317,A-AM00036692,C-00043232,Add-on Module,CreateSubscription,O-00028963,CLEAR,USD
2018-03-26T20:35:41-0700,12/31/17,12/30/20,1,Extension,A-S00008317,A-AM00036692,C-00043229,Platform Fee,CreateSubscription,O-00028963,CLEAR,USD
2018-03-26T20:35:41-0700,12/31/17,12/30/20,495000,Extension,A-S00008317,A-AM00036692,C-00043234,Connect,CreateSubscription,O-00028963,CLEAR,USD
